"location","count","latitude","longitude"
5241857,3,38.52815,-81.63096
5234882,3,-32.75,-71.33333
5423153,1,26.12869,-97.39831
5516565,1,46.45411,-92.76187
5231455,4,41.02343,-74.06653
5199050,62,61.5809,-149.4415
5387335,3,33.68906,-78.88669
5221340,2,50.33333,3.36197
5520995,1,35.43403,-79.58697
5250976,25,35.88264,-80.08199
6102868,1,39.60317,-74.34015
5474799,2,19.87333,-155.1175
5214238,85,53.33306,-6.24889
5192850,8,42.53006,-78.4728
5422182,1,39.85365,-89.24203
5206542,3,-19.84361,34.83889
5188446,45,45.42067,-122.67065
5246872,3,34.89368,-98.36589
5603013,1,45.46611,16.37833
5241749,3,47.30532,-68.15198
5194580,2,43.41734,-123.21341
5204399,6,38.23242,-122.63665
5192173,2,38.75533,-89.09534
5229155,2,-31.95224,115.8614
5281027,5,50.76871,0.28453
5282343,15,40.26257,-80.18728
5210524,2,31.17991,-83.78906
5214331,3,37.56299,-122.32553
5488559,2,52.76667,-0.38333
5507940,1,42.97402,-4.03289
5225082,1,-5,-39.5
5237712,1,53.83333,-2.91667
5189402,211,39.72943,-104.83192
5490443,1,39.44093,-78.97392
5296703,5,38.80095,-77.32554
5302876,6,33.40433,-79.92174
5207492,6,-34.825,-56.2
5451174,2,51.71905,8.75439
5192902,1,48.08311,2.82951
5502092,1,64.07333,-141.93611
5193196,2,48.01217,7.07091
5517300,1,52.495,5.07083
5273955,5,40.86453,-75.81103
5435891,1,36.42423,-89.05701
5196786,7,-34.18551,142.16251
5295382,12,42.64059,-84.51525
5209010,4,39.14573,-121.59135
5204630,7,32.30709,-96.00664
5503568,1,35.11229,-85.29413
5516736,1,36.59389,-6.23298
5204673,3,52.19166,-1.70734
5500283,1,38.38565,-81.83624
5219345,1,36.83264,-78.73334
5239030,24,33.9164,-118.35257
5212592,19,40.8337,-75.7138
5391821,4,-34.96658,142.88151
5191876,61,34.92487,-81.02508
5228206,1,-26.5283,153.08809
5234636,3,65.21442,25.96448
5213752,9,32.88819,-84.32659
5195220,4,39.60206,-74.84267
5192646,2,31.23129,-84.21046
5521670,1,39.85367,-83.18297
5209786,3,49.6167,11.5167
